# glassId	equipId	name	xu	luong
0	5	súng cannon 1	1000	-1
1	5	súng ak 1	1000	-1
2	5	súng proton 1	1000	-1
3	5	súng khỉ 1	1000	-1
4	5	súng rocket 1	1000	-1
5	5	súng granos 1	1000	-1
6	5	súng gà 1	1000	-1
7	5	súng tarzan 1	1000	-1
8	5	súng apache 1	1000	-1
9	5	súng laser 1	1000	-1
0	9	súng cannon 2	5000	-1
1	8	súng ak 2	5000	-1
2	9	súng proton 2	5000	-1
3	9	súng khỉ 2	5000	-1
4	8	súng rocket 2	5000	-1
5	8	súng granos 2	5000	-1
6	8	súng gà 2	5000	-1
7	9	súng tarzan 2	5000	-1
8	8	súng apache 2	5000	-1
9	8	súng laser 2	5000	-1
0	14	súng cannon 3	20000	-1
1	11	súng ak 3	10000	-1
2	12	súng proton 3	10000	-1
3	14	súng khỉ 3	10000	-1
4	15	súng rocket 3	10000	-1
5	12	súng granos 3	10000	-1
6	11	súng gà 3	10000	-1
7	13	súng tarzan 3	10000	-1
8	12	súng apache 3	10000	-1
9	11	súng laser 3	10000	-1
0	19	súng cannon 4	30000	27
1	14	súng ak 4	20000	17
2	17	súng proton 4	20000	17
3	19	súng khỉ 4	20000	17
4	18	súng rocket 4	20000	17
5	16	súng granos 4	20000	17
6	15	súng gà 4	20000	17
7	17	súng tarzan 4	20000	17
8	16	súng apache 4	20000	17
9	14	súng laser 4	20000	17
0	44	súng bạc	200000	160
1	38	súng bạc	200000	160
2	38	súng bạc	200000	160
3	38	kiếm bạc	200000	160
4	38	súng bạc	200000	160
5	37	súng bạc	200000	160
6	38	súng bạc	200000	160
7	39	súng bạc	200000	160
8	38	súng bạc	200000	160
9	38	súng bạc	200000	160
0	49	súng vàng	-1	400
1	43	súng vàng	-1	400
2	43	súng vàng	-1	400
3	43	kiếm vàng	-1	400
4	43	súng vàng	-1	400
5	42	súng vàng	-1	400
6	43	súng vàng	-1	400
7	44	súng vàng	-1	400
8	43	búa vàng	-1	400
9	43	súng vàng	-1	400
0	3	nón cannon 1	1000	-1
1	3	nón ak 1	1000	-1
2	3	nón proton 1	1000	-1
3	3	nón khỉ 1	1000	-1
4	3	nón rocket 1	1000	-1
5	3	nón granos 1	1000	-1
6	3	nón gà 1	1000	-1
7	3	nón tarzan 1	1000	-1
8	3	nón apache 1	1000	-1
9	3	nón laser 1	1000	-1
0	7	nón cannon 2	5000	-1
1	6	nón ak 2	5000	-1
2	7	nón proton 2	5000	-1
3	7	nón khỉ 2	5000	-1
4	6	nón rocket 2	5000	-1
5	6	nón granos 2	5000	-1
6	6	nón gà 2	5000	-1
7	6	nón tarzan 2	5000	-1
8	6	nón apache 2	5000	-1
9	6	nón laser 2	5000	-1
0	12	nón cannon 3	10000	-1
1	9	nón ak 3	15000	-1
2	11	nón proton 3	15000	-1
